player_id,player_name,position_name
2956,Bertrand Isidore Traoré,Center Forward
2966,Stéphane Sessègnon,Right Midfield
2988,Memphis Depay,Left Wing
3037,Mousa Sidi Yaya Dembélé,Left Defensive Midfield
3041,Ciaran Clark,Left Center Back
3043,Christian Dannemann Eriksen,Left Wing
3044,Chancel Mbemba Mangulu,Right Center Back
3049,Matt Ritchie,Right Midfield
3052,Pablo Javier Zabaleta Girod,Right Back
3054,Fernando Luiz Rosa,Left Defensive Midfield
3057,Jonjo Shelvey,Left Center Midfield
3058,Javier Hernández Balcázar,Center Forward
3062,Aaron Cresswell,Left Back
3064,David Josué Jiménez Silva,Center Attacking Midfield
3065,Paul Dummett,Left Back
3076,Ayoze Pérez Gutiérrez,Left Wing
3077,Jan Vertonghen,Left Center Back
3081,Jamaal Lascelles,Left Center Back
3083,Heung-Min Son,Right Wing
3085,Glenn Murray,Center Forward
3086,Ben Davies,Left Back
3087,Gnégnéri Yaya Touré,Right Defensive Midfield
3089,Kevin De Bruyne,Center Attacking Midfield
3090,Nicolás Hernán Otamendi,Right Center Back
3091,Moussa Sissoko,Right Wing
3092,Dwight Gayle,Center Forward
3094,Bamidele Alli,Center Attacking Midfield
3096,Rob Elliot,Goalkeeper
3098,Victor Wanyama,Right Defensive Midfield
3099,Hugo Lloris,Goalkeeper
3101,Vincent Kompany,Right Center Back
3165,Emmanuel Rivière,Center Forward
3196,Wahbi Khazri,Left Midfield
3205,Kyle Walker,Right Back
3233,Raheem Sterling,Left Wing
3237,Sergio Leonel Agüero del Castillo,Center Forward
3244,John Stones,Right Center Back
3254,Florian Thauvin,Left Wing
3262,Łukasz Fabiański,Goalkeeper
3263,Craig Cathcart,Right Center Back
3265,José Luis Sanmartín Mato,Center Forward
3267,Luis Antonio Valencia Mosquera,Right Back
3270,Danny Simpson,Right Back
3272,Oriol Romeu Vidal,Left Defensive Midfield
3277,Yohan Cabaye,Right Defensive Midfield
3278,Benik Afobe,Center Forward
3286,Nathan Redmond,Right Midfield
3288,Miguel Ángel Britos Cabrera,Left Center Back
3289,Romelu Lukaku Menama,Center Forward
3290,Federico Fernández,Right Center Back
3291,Joe Hart,Goalkeeper
3293,Jesse Lingard,Right Wing
3294,Juan Manuel Mata García,Right Wing
3296,Marouane Fellaini-Bakkioui,Right Center Midfield
3297,Andros Townsend,Right Wing
3300,Maya Yoshida,Left Center Back
3302,Nordin Amrabat,Left Midfield
3304,Harry Arter,Left Center Midfield
3306,Nathan Aké,Left Back
3307,Marc Albrighton,Left Midfield
3308,Kieran Trippier,Right Back
3309,Sebastian Prödl,Right Center Back
3310,Tom Carroll,Left Defensive Midfield
3311,Daley Blind,Left Center Back
3312,Demarai Gray,Left Midfield
3314,Phil Jones,Right Center Back
3316,James Tomkins,Right Back
3318,Marcus Rashford,Center Forward
3321,Patrick van Aanholt,Left Back
3323,Tyrone Mings,Left Back
3325,Marko Arnautović,Left Wing
3326,Chung-Yong Lee,Left Wing
3328,James Ward-Prowse,Right Center Midfield
3329,Cédric Ricardo Alves Soares,Right Back
3333,David de Gea Quintana,Goalkeeper
3337,Jermain Defoe,Center Forward
3339,Asmir Begović,Goalkeeper
3340,Kyle Naughton,Right Back
3341,Steve Cook,Left Center Back
3343,Dan Gosling,Right Center Midfield
3344,Andrew Surman,Center Defensive Midfield
3345,Charlie Daniels,Left Back
3346,Joshua King,Center Forward
3347,André Ayew Pelé,Right Wing
3349,Michail Antonio,Right Back
3380,Christian Benteke Liolo,Center Forward
3381,Nemanja Matić,Left Defensive Midfield
3382,Luke Shaw,Left Back
3385,Alexis Alejandro Sánchez Sánchez,Left Wing
3388,Jack Wilshere,Center Attacking Midfield
3389,Eliaquim Mangala,Left Center Back
3391,Rolando Aarons,Left Back
3394,Laurent Koscielny,Left Center Back
3407,Scott Dann,Right Center Back
3436,Idrissa Gana Gueye,Left Center Midfield
3437,Francis Joseph Coquelin,Left Defensive Midfield
3440,Tammy Bakumo-Abraham,Center Forward
3442,El-Hadji Baye Oumar Niasse,Center Forward
3443,Joel Ward,Right Back
3445,Radamel Falcao García Zárate,Center Forward
3448,Martin Kelly,Right Back
3449,Wayne Routledge,Right Wing
3450,Jordan Ayew,Left Wing
3454,Troy Deeney,Right Center Forward
3456,Kurt Happy Zouma,Right Center Back
3461,Petr Čech,Goalkeeper
3462,Jack Frank Porteous Cork,Right Center Midfield
3463,Junior Stanislas,Left Midfield
3464,James McArthur,Left Defensive Midfield
3465,Timothy Evans Fosu-Mensah,Right Back
3467,Erik Pieters,Left Back
3468,Jordan Pickford,Goalkeeper
3469,Bakary Sako,Right Wing
3471,Dejan Lovren,Left Center Back
3472,Willian Borges da Silva,Right Wing
3473,James Philip Milner,Right Center Midfield
3475,Per Mertesacker,Right Center Back
3476,Muhamed Bešić,Right Center Midfield
3478,Francesc Fàbregas i Soler,Right Defensive Midfield
3479,Sam Field,Left Wing
3480,Geoff Cameron,Right Center Back
3482,James Collins,Right Center Back
3483,Mamadou Sakho,Left Center Back
3487,Julián Speroni,Goalkeeper
3488,Wayne Hennessey,Goalkeeper
3490,James Morrison,Left Center Midfield
3491,Dimitri Payet,Left Wing
3493,Emre Can,Left Center Midfield
3495,Joe Gomez,Left Back
3496,Mesut Özil,Center Attacking Midfield
3498,Ignacio Monreal Eraso,Left Back
3501,Philippe Coutinho Correia,Left Wing
3504,Ruben Loftus-Cheek,Center Attacking Midfield
3507,Wilfried Zaha,Right Wing
3509,Thibaut Courtois,Goalkeeper
3511,Héctor Bellerín Moruno,Right Back
3514,James McClean,Left Midfield
3515,Alberto Moreno Pérez,Left Back
3517,Aaron Ramsey,Left Defensive Midfield
3518,Leighton Baines,Left Back
3520,Jeffrey Schlupp,Left Back
3522,Heurelho da Silva Gomes,Goalkeeper
3523,Craig Dawson,Right Back
3525,Alex Oxlade-Chamberlain,Right Wing
3528,Kieran Gibbs,Left Wing
3529,Daniel Andre Sturridge,Center Forward
3532,Jordan Brian Henderson,Right Center Midfield
3533,Xherdan Shaqiri,Right Wing
3534,Clinton Mua N''Jie,Left Wing
3535,Roberto Firmino Barbosa de Oliveira,Center Attacking Midfield
3537,Jack Butland,Goalkeeper
3538,Wayne Mark Rooney,Center Forward
3539,Simon Mignolet,Goalkeeper
3541,Chris Brunt,Left Back
3542,Jonjoe Kenny,Right Back
3567,Georginio Wijnaldum,Center Attacking Midfield
3568,Mohamed Naser Elsayed Elneny,Right Defensive Midfield
3569,Daniel Nii Tackie Mensah Welbeck,Center Forward
3576,Martin Olsson,Left Back
3583,Ashley Westwood,Right Center Midfield
3585,Erik Lamela,Right Wing
3586,Samuel Mark Byram,Right Back
3589,Yannick Bolasie Yala,Left Wing
3590,Rhu-endly Martina,Right Back
3594,Danny Rose,Left Back
3595,Manuel Lanzini,Left Center Midfield
3596,Gareth McAuley,Right Center Back
3598,Wilfried Guemiand Bony,Center Forward
3600,Morgan Schneiderlin,Right Defensive Midfield
3602,Faustino Marcos Alberto Rojo,Left Back
3603,Mame Biram Diouf,Center Forward
3604,Olivier Giroud,Center Forward
3605,Sung-Yeung Ki,Left Center Midfield
3606,Ander Herrera Agüera,Center Attacking Midfield
3607,James McCarthy,Right Defensive Midfield
3608,Simon Francis,Right Back
3609,Michel Vorm,Goalkeeper
3611,Kevin Wimmer,Left Center Back
3612,Ashley Young,Right Back
3616,Callum Wilson,Center Forward
3619,Alex McCarthy,Goalkeeper
3621,Eden Hazard,Left Wing
3623,Adrián San Miguel del Castillo,Goalkeeper
3626,Ben Watson,Left Defensive Midfield
3629,Sadio Mané,Center Attacking Midfield
3631,Nathan Dyer,Left Midfield
3633,Gareth Barry,Left Defensive Midfield
3635,Jordon Ibe,Right Wing
3636,Charlie Adam,Left Defensive Midfield
3643,Phil Bardsley,Right Back
3644,Ashley Williams,Left Center Back
