event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
72596ffe-393e-4a75-82c6-5fb82ae36d4d,0.02083787,Blocked,Right Foot,Open Play,Normal,False,False,109.7,30.1,
b2bae775-5dd8-45bf-9b84-191c7849f707,0.034461774,Blocked,Right Foot,Open Play,Normal,False,False,114.5,52.6,
7c4227e5-0759-4633-93ea-bbbe291bbd72,0.035480928,Off T,Left Foot,Open Play,Overhead Kick,True,False,120.0,43.3,3.6
8e3a6f10-64e4-49bf-a157-16b15b552713,0.38371146,Off T,Head,Open Play,Normal,False,False,120.0,46.0,1.2
3a5364b3-0b99-4271-a451-0a3033ad195d,0.036740057,Wayward,Right Foot,Open Play,Half Volley,False,False,103.9,40.1,
1d66ec6b-17ea-418d-a390-b5b4ac0f8181,0.5754278,Post,Right Foot,Open Play,Normal,False,True,120.0,36.0,1.3
e766a3d8-8a5e-42d2-aea1-378af85d8c6b,0.095997825,Off T,Right Foot,Open Play,Normal,False,False,120.0,48.0,5.3
373e52d0-06f0-44bd-b62c-0a4fe528c6b4,0.04725947,Off T,Head,Open Play,Normal,False,False,120.0,48.3,1.0
77d83d42-ad31-42c6-a606-415f6ac199b8,0.25644818,Off T,Right Foot,Open Play,Normal,True,False,120.0,41.4,4.9
12ab3780-190a-477f-b832-8c612d0fd5b0,0.1119732,Wayward,Left Foot,Open Play,Normal,False,True,119.2,50.5,
75d2cbc8-05fb-4749-867b-2bf99fada8ff,0.094897345,Saved,Right Foot,Open Play,Normal,False,False,116.1,41.6,0.2
30c759a1-d45c-497c-b50e-c5573107122b,0.64057934,Off T,Left Foot,Open Play,Volley,True,False,120.0,41.5,6.1
f4be3b30-a789-4f02-8f16-ee9547c719cb,0.7835,Saved,Left Foot,Penalty,Normal,False,False,118.9,43.0,0.9
7c27fea2-e387-423b-ae7b-cd60be0ec1e7,0.022849003,Blocked,Right Foot,Open Play,Normal,False,False,99.6,41.3,
a5cc0f8a-6054-492f-afe3-c2574db1eda9,0.054560155,Blocked,Right Foot,Open Play,Normal,False,False,104.1,31.5,
0eceba7b-61d4-4f2e-b1c9-6a73eee0162e,0.01612113,Blocked,Right Foot,Open Play,Normal,False,False,94.3,46.2,
e22f90a1-9494-4a0e-9a82-450d81070063,0.0250954,Off T,Right Foot,Open Play,Volley,True,False,120.0,43.1,7.5
a9326c0b-1e10-43f1-8d0d-de63ca8a6114,0.05736443,Saved,Head,Open Play,Normal,False,False,118.9,36.0,0.9
24f7f6d4-bbb0-45da-8414-2cb58af7d8f4,0.008613406,Off T,Left Foot,Open Play,Half Volley,True,False,120.0,33.2,1.1
ca9b925c-13c5-4a4c-bcbb-d5c48ed89d91,0.039429333,Off T,Left Foot,Open Play,Volley,True,False,120.0,49.2,0.2
7db239ff-9ff2-4e31-bb58-acb3a1cba52e,0.24525318,Off T,Left Foot,Open Play,Normal,True,False,120.0,19.2,0.0
3ca8bc18-6083-4d5a-afc1-4dc20de42e43,0.042901754,Blocked,Left Foot,Open Play,Normal,False,False,103.9,49.8,
ae5dfce5-95e6-47b1-b2e3-abc11d7d59f2,0.012095166,Off T,Head,Open Play,Normal,False,False,120.0,34.6,0.2
39ba03e1-5445-4735-a38e-c0b8330d9883,0.023959583,Blocked,Right Foot,Open Play,Normal,False,False,104.0,28.2,
4a791b58-400d-412b-89e9-7d6a8dc6d454,0.044721026,Off T,Left Foot,Open Play,Half Volley,False,False,120.0,48.0,0.0
a2904741-25d0-4824-aa20-1aed74d26389,0.028252145,Blocked,Left Foot,Open Play,Normal,False,False,102.8,41.4,
0deef0c6-856b-469c-bfaa-15264d794cd2,0.020842131,Off T,Right Foot,Open Play,Normal,False,False,120.0,48.2,1.2
9df6670f-397b-46f1-ae04-5284d61ecdad,0.047938,Blocked,Right Foot,Open Play,Half Volley,True,False,112.7,37.5,
8841291a-3cf9-4b83-9f1e-8249f5e2c3ce,0.18338391,Blocked,Right Foot,Open Play,Half Volley,True,False,113.7,47.6,
d3772dd6-6eea-455c-8730-2440db142ee3,0.0682529,Blocked,Left Foot,Open Play,Half Volley,True,False,116.6,46.1,
c713f4f8-c545-4b26-aa5d-89ac6cc98c79,0.21564297,Saved,Head,Open Play,Diving Header,False,False,118.9,40.7,2.1
c3b2a35a-9173-42ad-a9a9-612fe86a336c,0.01078354,Blocked,Right Foot,Open Play,Half Volley,True,False,102.7,56.7,
9db4c8b0-c2a7-4005-903c-cfb9d3160207,0.051626783,Off T,Left Foot,Open Play,Normal,False,False,120.0,34.1,2.0
e4dbeb72-82d7-4661-b6ee-0c53ab0710ac,0.030730423,Off T,Left Foot,Open Play,Normal,False,False,120.0,34.4,0.0
