,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,794ec549-5288-4d1a-93e8-0fc6d3968784,1,,,,3895302,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 41411, 'name': 'Nathan Tella'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3a9a2c57-b177-47ed-9447-11f081b0e388,2,,,,3895302,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 23198, 'name': 'Michael Zetterer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 51769, 'name': 'Julián Malatini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 31100, 'name': 'Christian Groß'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 36}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 8}, {'player': {'id': 28573, 'name': 'Felix Agu'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 27}, {'player': {'id': 21865, 'name': 'Senne Lynen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8784, 'name': 'Romano Schmid'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 34870, 'name': 'Nick Woltemade'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 29}, {'player': {'id': 12299, 'name': 'Marvin Ducksch'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Werder Bremen,176,00:00:00.000,Starting XI,
2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f956a2b-ece0-475b-8802-e82ed922c307,3,,,,3895302,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['79b90fbb-2cfd-419b-90f4-f0e5980c47d3'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79b90fbb-2cfd-419b-90f4-f0e5980c47d3,4,,,,3895302,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['1f956a2b-ece0-475b-8802-e82ed922c307'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5386215-ef71-4cb0-a46b-087754baba4e,2344,,,,3895302,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,69,Bayer Leverkusen,904,['d1909cc4-05fd-4f56-aaba-6b55a729f6f4'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1909cc4-05fd-4f56-aaba-6b55a729f6f4,2345,,,,3895302,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,69,Bayer Leverkusen,904,['d5386215-ef71-4cb0-a46b-087754baba4e'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
6,,,,,,,,,,,,,,,,,,0.453249,,,,,,,,,,,,,221b0c8d-6386-4ae8-bb4a-a1dc98742312,5,,,"[61.0, 40.1]",3895302,0,,,,2.7610862,,Right Foot,,,,"[59.0, 40.9]",,Ground Pass,,2.1540658,,,Marvin Ducksch,12299.0,,,,,Kick Off,1,From Kick Off,Nick Woltemade,34870.0,Right Center Forward,2,Werder Bremen,176,['76f95d8a-7d26-4262-a142-5be7b0cd022d'],3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.417,Pass,
7,,,,,,,,,,,,,,,,,,1.995802,,,,,,,,,,,,,ff56e821-21e9-4cef-ba2a-7eb5eb3769c6,8,,,"[59.0, 40.6]",3895302,0,,,,3.0332322,,Right Foot,,,,"[35.1, 43.2]",,Ground Pass,,24.041006,,,Christian Groß,31100.0,,,,,,1,From Kick Off,Marvin Ducksch,12299.0,Left Center Forward,2,Werder Bremen,176,['ae74c490-d721-45ca-936f-3975b25d1c94'],4,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:04.732,Pass,
8,,,,,,,,,,,,,,,,,,1.414672,,,,,,,,,,,,,4464cb75-f45f-4508-8444-2560d1625d06,11,,,"[35.1, 43.7]",3895302,0,,,,1.6650436,,Right Foot,,,,"[33.2, 63.8]",,Ground Pass,,20.189602,,,Julián Malatini,51769.0,,,,,,1,From Kick Off,Christian Groß,31100.0,Center Back,2,Werder Bremen,176,['4f4800c3-368a-457f-8a4e-46c9946e3aae'],7,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.622,Pass,
9,,,,,,,,,,,,,,,,,,1.068364,,,,,,,,,,,,,b88bbf46-30c8-4c60-b8cc-6d855f94f990,15,,,"[32.7, 65.3]",3895302,0,,,,0.81419677,,Right Foot,,,,"[44.5, 77.8]",,Ground Pass,,17.189823,,,Mitchell Weiser,8576.0,,,,,,1,From Kick Off,Julián Malatini,51769.0,Right Center Back,2,Werder Bremen,176,['696b974a-7b21-415e-9089-0fb05ba1d301'],10,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:10.352,Pass,
10,,,,,,,,,,,,,,,,,,1.624434,,,,,,,,,,,,,63a6070e-0c56-4615-8bab-8f6792d5562a,18,,,"[44.5, 77.5]",3895302,0,,,,-0.58408105,,Left Foot,,,,"[62.2, 65.8]",,Ground Pass,,21.217445,,,Nick Woltemade,34870.0,,,,,,1,From Kick Off,Mitchell Weiser,8576.0,Right Wing Back,2,Werder Bremen,176,['77ded78e-cd66-40c5-9cdf-79a503677c94'],11,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:11.461,Pass,
11,,,,,,,,,,,,,,,,,,0.482586,,,,,,,,,,,,,27a4530a-65a3-4a3f-bff3-450ea8c03503,22,,,"[58.3, 66.0]",3895302,0,,,,2.4468544,,Right Foot,,,,"[53.5, 70.0]",,Ground Pass,,6.2482,,,Mitchell Weiser,8576.0,,,,,,1,From Kick Off,Nick Woltemade,34870.0,Right Center Forward,2,Werder Bremen,176,['333686d1-368f-4220-8fae-ad246659d269'],13,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:13.995,Pass,
12,,,,,,,,,,,,,,,,,,0.71723,,,,,,,,,,,,,9d2ca811-c1c1-4060-ae7f-f8e28c1aef53,24,,,"[53.5, 70.0]",3895302,0,,,,-0.4048918,,Right Foot,,,,"[66.1, 64.6]",,Ground Pass,,13.708391,,,Marvin Ducksch,12299.0,,,,,,1,From Kick Off,Mitchell Weiser,8576.0,Right Wing Back,2,Werder Bremen,176,['143261da-740a-4ba0-a31b-7b2e88ab2a6f'],14,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:14.477,Pass,
